                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2846,                 9.9715,                 1.5919,                0.30041,                0.36288,                 0.2105,                0.08612,                 2.2749,                 7.9167,                 1.0653,             0.00032381,             0.00032381,             0.00032381
                      2,                 2.3281,                 2.8353,                 1.0761,                0.10907,                0.48695,                0.09889,                0.04208,                 2.1416,                    inf,                 1.0222,             0.00065064,             0.00065064,             0.00065064
                      3,                 2.1322,                 1.8733,                 1.0187,                0.84294,                0.54479,                0.61768,                0.24334,                 2.1465,                 1.7266,                 1.0066,             0.00097086,             0.00097086,             0.00097086
                      4,                 2.1538,                  1.672,                 1.0209,                0.82032,                0.65001,                0.70795,                 0.2934,                 2.0374,                 1.5081,                0.97852,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0276,                  1.412,                 0.9932,                0.83516,                0.70786,                0.76563,                0.33537,                 1.9194,                 1.1367,                0.96619,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.9336,                 1.2972,                0.97425,                0.71786,                0.74157,                0.66248,                0.28532,                 1.9486,                 1.7617,                0.96668,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.9462,                 1.1991,                0.96964,                0.86084,                0.71311,                 0.8004,                0.34335,                  1.915,                 1.1381,                0.94531,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.9329,                 1.2465,                 0.9712,                0.92996,                0.82314,                 0.8978,                0.41128,                 1.8069,                 0.9185,                0.93524,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.8448,                 1.0896,                0.95931,                 0.8894,                0.81072,                0.87306,                0.40246,                 1.7569,                0.96044,                0.92576,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.8155,                 1.0762,                0.95732,                0.88446,                0.72556,                0.81382,                0.33689,                 1.9078,                 1.0744,                0.94861,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.8372,                 1.0754,                0.94894,                0.80641,                0.76489,                0.80879,                0.34668,                 1.9121,                 1.0242,                0.94302,               0.000901,               0.000901,               0.000901
                     12,                 1.7924,                 1.0358,                0.93295,                0.89648,                0.83169,                0.88267,                0.41989,                 1.7645,                0.91979,                 0.9245,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.7272,                0.97835,                0.93496,                0.92313,                0.85347,                0.89676,                0.44384,                 1.6902,                0.84409,                0.91831,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.7306,                 0.9754,                0.94415,                0.95313,                0.81499,                0.89475,                0.41214,                 1.7867,                0.88716,                0.92417,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.7117,                0.96216,                0.93575,                 0.9345,                0.83098,                0.87977,                0.41966,                 1.7401,                0.90222,                0.92485,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.7273,                0.93969,                 0.9358,                0.81973,                0.83652,                0.79469,                0.37618,                 1.7511,                0.92386,                0.91888,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.6894,                0.91331,                0.92286,                0.87196,                0.83267,                0.84876,                0.40338,                 1.7374,                0.86441,                0.92535,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.7529,                0.92976,                0.93233,                0.92843,                0.83596,                0.87476,                0.39669,                 1.7815,                0.88664,                0.92322,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.6947,                0.92052,                0.91807,                0.95168,                0.87623,                0.91525,                0.46247,                 1.6378,                0.82206,                 0.9041,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.6574,                0.87349,                0.91404,                0.94618,                0.87347,                0.91078,                0.45775,                 1.6444,                0.79413,                0.90905,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.6406,                0.84424,                0.91653,                0.94642,                0.88596,                0.92484,                0.45307,                 1.6736,                0.80096,                0.90823,               0.000802,               0.000802,               0.000802
                     22,                 1.7171,                0.88096,                0.90952,                0.93089,                0.87487,                0.89717,                0.40984,                  1.762,                0.84669,                0.91879,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.6249,                0.83181,                0.91545,                 0.9491,                 0.8935,                0.92543,                0.45932,                 1.7143,                0.77861,                0.91476,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.6333,                0.83445,                0.91477,                0.94546,                0.85723,                0.89571,                0.41674,                 1.7581,                0.83821,                0.91845,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.5976,                0.81159,                0.90585,                0.97486,                0.90745,                0.94818,                0.45761,                 1.6485,                0.75974,                0.90492,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.6203,                0.82217,                0.90831,                0.93271,                0.90065,                0.93825,                0.46741,                 1.6388,                0.77271,                0.90429,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.6168,                0.80778,                0.89774,                0.90071,                0.87503,                0.89334,                0.39661,                 1.7769,                0.84179,                0.91399,              0.0007426,              0.0007426,              0.0007426
